City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,285.48,100,100,1.0,RU,1689896652
1,papatowai,-46.5619,169.4708,280.05,64,10,5.08,NZ,1689896754
2,albany,42.6001,-73.9662,299.02,65,48,1.29,US,1689896523
3,taroa,8.7058,171.2275,301.42,81,83,9.28,MH,1689896756
4,tingo maria,-9.2895,-76.0088,295.4,92,90,1.56,PE,1689896756
5,amos,48.5669,-78.1162,288.37,95,99,2.02,CA,1689896757
6,stanley,54.868,-1.6985,284.16,90,0,2.57,GB,1689896758
7,avarua,-21.2078,-159.775,297.18,53,20,3.6,CK,1689896758
8,margaret river,-33.95,115.0667,288.83,68,24,11.15,AU,1689896759
9,adamstown,-25.066,-130.1015,293.66,89,100,11.93,PN,1689896580
10,ciudad bolivar,8.1222,-63.5497,301.25,63,51,3.15,VE,1689896759
11,fortuna,40.5982,-124.1573,293.67,75,0,6.69,US,1689896759
12,miracema do tocantins,-9.5618,-48.3967,296.61,32,4,1.62,BR,1689896760
13,ushuaia,-54.8,-68.3,272.96,69,75,2.06,AR,1689896533
14,dryden,49.7833,-92.7503,293.31,77,75,1.03,CA,1689896543
15,codrington,-38.2667,141.9667,280.95,83,70,3.37,AU,1689896761
16,hermanus,-34.4187,19.2345,281.37,76,0,2.54,ZA,1689896762
17,fale old settlement,-9.3852,-171.2468,301.77,76,46,5.67,TK,1689896763
18,hailar,49.2,119.7,292.58,58,98,3.95,CN,1689896764
19,invercargill,-46.4,168.35,279.16,71,8,1.77,NZ,1689896669
20,port mathurin,-19.6833,63.4167,296.36,66,8,7.47,MU,1689896766
21,east london,-33.0153,27.9116,286.6,53,100,6.7,ZA,1689896767
22,grytviken,-54.2811,-36.5092,271.42,91,96,1.72,GS,1689896591
23,as sulayyil,20.4607,45.5779,308.29,10,96,3.02,SA,1689896770
24,taro,-8.3862,115.28,293.15,83,43,2.56,ID,1689896770
25,anadyr,64.75,177.4833,286.43,87,100,3.0,RU,1689896771
26,kostomuksha,64.571,30.5767,286.7,99,100,1.85,RU,1689896772
27,georgetown,5.4112,100.3354,301.11,83,40,2.24,MY,1689896731
28,saipan,15.1355,145.701,303.54,100,20,5.14,MP,1689896773
29,aasiaat,68.7098,-52.8699,276.77,98,99,5.47,GL,1689896775
30,malvan,16.0667,73.4667,300.22,84,100,9.2,IN,1689896776
31,olonkinbyen,70.9221,-8.7187,278.6,82,100,0.7,SJ,1689896772
32,nuku'alofa,-21.1333,-175.2,294.34,94,100,5.14,TO,1689896776
33,ciudad lazaro cardenas,17.9583,-102.2,303.47,76,63,4.36,MX,1689896776
34,port-aux-francais,-49.35,70.2167,274.72,58,49,15.64,TF,1689896777
35,farasan,16.7022,42.1183,304.63,76,99,4.86,SA,1689896777
36,waitangi,-43.9535,-176.5597,281.94,95,89,1.79,NZ,1689896777
37,cam ranh,11.9214,109.1591,301.13,78,20,0.51,VN,1689896778
38,harper,4.375,-7.7169,296.68,93,44,2.01,LR,1689896778
39,suva,-18.1416,178.4415,298.86,83,75,3.6,FJ,1689896778
40,tongliao,43.6125,122.2653,298.18,74,98,6.15,CN,1689896779
41,sabancuy,18.9667,-91.1833,302.28,78,97,5.97,MX,1689896780
42,edinburgh of the seven seas,-37.0676,-12.3116,284.78,57,50,9.59,SH,1689896781
43,utrik,11.2278,169.8474,301.58,79,76,8.51,MH,1689896587
44,hithadhoo,-0.6,73.0833,301.31,75,68,7.71,MV,1689896594
45,saudarkrokur,65.7461,-19.6394,281.19,80,41,0.87,IS,1689896784
46,freetown,8.484,-13.2299,299.99,89,40,6.69,SL,1689896785
47,las khorey,11.1595,48.1967,304.82,58,100,1.95,SO,1689896786
48,bethel,41.3712,-73.414,300.35,64,0,2.57,US,1689896582
49,portland,45.5234,-122.6762,306.76,42,20,2.57,US,1689896773
50,badger,64.8,-147.5333,295.36,81,75,0.0,US,1689896624
51,el calafate,-50.3408,-72.2768,274.92,98,100,0.56,AR,1689896566
52,dompu,-8.5356,118.4622,297.59,80,6,1.08,ID,1689896789
53,nuuk,64.1835,-51.7216,282.49,100,75,1.54,GL,1689896790
54,puerto natales,-51.7236,-72.4875,272.67,96,100,3.16,CL,1689896595
55,turceni,44.6833,23.3667,292.66,68,0,1.61,RO,1689896791
